,question,ans,blanks,a),b),c),d),e)
72290,The new car has been here for several days. _____ is it?,c,1,The new car has been here for several days. Where is it?,The new car has been here for several days. What is it?,The new car has been here for several days. Whose is it?,The new car has been here for several days. Who is it?,
72291,He _____ a big mouth. ,b,1,He have a big mouth.,He has a big mouth.,He is a big mouth.,,
72292,"Intelligence is _____ to the modern sportsmen; there are so many losses and benefits to be balanced that a sportsman needs a reasonable, calculating mind. ",d,1,"Intelligence is complicated to the modern sportsmen; there are so many losses and benefits to be balanced that a sportsman needs a reasonable, calculating mind.","Intelligence is sufficient to the modern sportsmen; there are so many losses and benefits to be balanced that a sportsman needs a reasonable, calculating mind.","Intelligence is controversial to the modern sportsmen; there are so many losses and benefits to be balanced that a sportsman needs a reasonable, calculating mind.","Intelligence is essential to the modern sportsmen; there are so many losses and benefits to be balanced that a sportsman needs a reasonable, calculating mind.",
72293, _____ is this? ,b,1,What is this?,What's is this?,what is this?,,
72294,All my friends like the cake _____ I made. ,a,1,All my friends like the cake which I made.,All my friends like the cake who I made.,All my friends like the cake what I made.,All my friends like the cake it I made.,
72295,It's _____ interesting work. ,d,1,It's a interesting work.,It's an interesting work.,It's the interesting work.,It's / interesting work.,
72296,Every student has _____ uniform. ,a,1,Every student has a uniform.,Every student has an uniform.,Every student has the uniform.,Every student has / uniform.,
72297,What _____ you like to do? ,b,1,What are you like to do?,What would you like to do?,What am you like to do?,,
72298,Mary and I _____ sisters. ,b,1,Mary and I is sisters.,Mary and I are sisters.,Mary and I am sisters.,Mary and I be sisters.,
72299,The street is full of people. what _____ ?,b,1,The street is full of people. what happens ?,The street is full of people. what happened ?,The street is full of people. what happening ?,,
72300,She was _____ to nine years in prison. ,a,1,She was sentenced to nine years in prison.,She was stored to nine years in prison.,She was supplied to nine years in prison.,She was reached to nine years in prison.,
72301,"Please tell me the truth, _____ I can decide how to help you next step. ",a,1,"Please tell me the truth, so I can decide how to help you next step.","Please tell me the truth, or I can decide how to help you next step.","Please tell me the truth, but I can decide how to help you next step.","Please tell me the truth, for I can decide how to help you next step.",
72302,The canteen is _____ the second floor. ,a,1,The canteen is on the second floor.,The canteen is at the second floor.,The canteen is in the second floor.,,
72303,I often go to the shops _____ weekends. ,b,1,I often go to the shops for weekends.,I often go to the shops on weekends.,I often go to the shops in weekends.,,
72304,There is going to _____ a soccer matter tomorrow afternoon. ,d,1,There is going to have a soccer matter tomorrow afternoon.,There is going to is a soccer matter tomorrow afternoon.,There is going to has a soccer matter tomorrow afternoon.,There is going to be a soccer matter tomorrow afternoon.,
72305,He is a star _____ TV. ,c,1,He is a star in TV.,He is a star at TV.,He is a star on TV.,,
72306,They are talking about _____ birthdays. ,c,1,They are talking about his birthdays.,They are talking about they birthdays.,They are talking about their birthdays.,They are talking about her birthdays.,
72307,The workers are so _____ to the noise of the machine that they don't even notice it during their work. ,b,1,The workers are so addicted to the noise of the machine that they don't even notice it during their work.,The workers are so accustomed to the noise of the machine that they don't even notice it during their work.,The workers are so similar to the noise of the machine that they don't even notice it during their work.,The workers are so devoted to the noise of the machine that they don't even notice it during their work.,
72308,"Mrs. Zhu teaches _____ Chinese, and we all like her lessons so much.",b,1,"Mrs. Zhu teaches we Chinese, and we all like her lessons so much.","Mrs. Zhu teaches us Chinese, and we all like her lessons so much.","Mrs. Zhu teaches our Chinese, and we all like her lessons so much.","Mrs. Zhu teaches ourselves Chinese, and we all like her lessons so much.",
72309,The doctor reminded her that her father was in good health _____ his age. ,a,1,The doctor reminded her that her father was in good health for his age.,The doctor reminded her that her father was in good health in his age.,The doctor reminded her that her father was in good health under his age.,The doctor reminded her that her father was in good health as his age.,
72310,After the party there was a terrible _____ in the room. ,c,1,After the party there was a terrible dirty in the room.,After the party there was a terrible silence in the room.,After the party there was a terrible mess in the room.,After the party there was a terrible noise in the room.,
